text,rating,location,restaurant_id
"Amazing food, service, and ambiance! 

My friend and I shared the pork chop, banana bread, and mussels. Every dish was well prepared and presented. I'd...",5.0,San+Diego,YLV7ZZoyOAXW3eqidGXBZA
"Casual enough place to pop in and get a table or bar seating for 2 (even on a Friday evening).   They do take reservations if you plan ahead for it.

We...",4.0,San+Diego,YLV7ZZoyOAXW3eqidGXBZA
"3.5 stars...

Arrived for our reservation and there was a bit of a problem as they gave our table away as we stood there... there were several other single...",3.0,San+Diego,YLV7ZZoyOAXW3eqidGXBZA
"Great brunch experience here at Parc Bistro, be sure to make a reservation for weekends.

As a starter, we got the pastry basket which has the standard...",5.0,San+Diego,_zFYC91bOjXC9EdsT8VnVQ
Brunch today was borderline disastrous.  Things got off on the wrong foot from minute one: we had a reservation for outdoor seating and the hostess refused...,3.0,San+Diego,_zFYC91bOjXC9EdsT8VnVQ
Came here a looong time ago for restaurant week and remembered it being good. Finally came back for Thanksgiving with my family and it was an all around...,5.0,San+Diego,_zFYC91bOjXC9EdsT8VnVQ
"Ambiance food tres bien. I love it there. Always!.
Convenient and I always find  parking",5.0,San+Diego,A3ByoJEG50eCzJ0OjGKh6A
"We had the best experience at Bleu Bohème. A dim-lit, romantic dining experience in Kensington makes for a great date night. Everything was fantastic, from...",5.0,San+Diego,A3ByoJEG50eCzJ0OjGKh6A
"Massively disappointed in the Bleu Boheme...AGAIN.  Thought I'd give it a second try after the curt rude bartender drove us away a year ago.

We had to go...",2.0,San+Diego,A3ByoJEG50eCzJ0OjGKh6A
"I am kicking myself for not coming here sooner. 5/5!

We loved everything about this seemingly old house turned restaurant. The food, the drinks, the...",5.0,San+Diego,GanSI9bQ9DM0oooi4_1kLw
"A perfect french meal.
Simple menu, but everything we had was absolutely perfect including, bread, water and champagne. Excellent service.
A delightful spot...",5.0,San+Diego,GanSI9bQ9DM0oooi4_1kLw
We came back for restaurant week and I felt like I fell in love with them again. Gone for couple times over the years and I really appreciate the update to...,5.0,San+Diego,GanSI9bQ9DM0oooi4_1kLw
Absolutely delighted with the steak and fries at Wolfie's Carousel Bar! A five-star experience that left my taste buds dancing. I wasn't expecting a lot of...,5.0,San+Diego,zgsG_vV9GiyJQ-ZFoMAYYw
"Wellllll. It was ok, but a little over price. Not that much of a selection on the menu. 

- The French Onion was a little salty but had a great...",3.0,San+Diego,zgsG_vV9GiyJQ-ZFoMAYYw
"This is one of those places you see on instagram and bookmark saying ""We gotta check this out one day!"" Well we finally did. 
For a Saturday night at 10pm I...",4.0,San+Diego,zgsG_vV9GiyJQ-ZFoMAYYw
"Favorite restaurant in San Diego. Hands down. 

Every dish is top notch. Classic French bistro feel - great for dates ans celebrations. Don't forget the...",5.0,San+Diego,aume4I76LG3Qu0cTcMZ_PA
"Crème de la crème! First time here and let me summarize: Wow! Just go! If you're looking for a delicious and traditional  French fare, look no further than...",5.0,San+Diego,aume4I76LG3Qu0cTcMZ_PA
Made reservations here for date night and was quite impressed! The staff were welcoming and service was friendly and attentive. Our waiter was excellent and...,5.0,San+Diego,aume4I76LG3Qu0cTcMZ_PA
"I don't know why I've never taken the time to review Bistro du Marche before. I've been here a handful of times now, and each is just as good as the last if...",5.0,San+Diego,lfMX3hf_shaUi5oDxaui2g
I am a long-time patron of Bistro du Marche and Tapanade before that. No more. Here's...,1.0,San+Diego,lfMX3hf_shaUi5oDxaui2g
"My mom & I had a girls' night out on Friday.
Before going to a comedy show we decided to have a meal at the Bistro.
We really enjoyed our dinner.
Service...",5.0,San+Diego,lfMX3hf_shaUi5oDxaui2g
