text,rating,location,restaurant_id
"I Love everything about this restaurant!
From the moment you're greeted! Ambiance is amazing! Love the decor, it's intimate and beautiful!

Food is...",5.0,Atlanta,85s4Qh0VUxKCRFnEkHeXRA
"I celebrated a friend's birthday at this colonial-themed restaurant, and the overall experience was delightful. Accessible via an elevator from the street,...",5.0,Atlanta,85s4Qh0VUxKCRFnEkHeXRA
"Le colonial was fantastic for a birthday dinner in the buckhead village area!

Parking was easy to find either in the deck or free valet (they validate your...",5.0,Atlanta,85s4Qh0VUxKCRFnEkHeXRA
"Jazz was fabulous, holiday decorations and ambience was beautiful. Server was a little overwhelmed with 12 guests in our group. Definitely would return for...",5.0,Atlanta,dTsp-JNNA7u5F9WtxVBEug
"It had been a minute since I'd been and my husband's birthday made for the perfect chance to go back. Right from the host stand, where we were greeted with...",5.0,Atlanta,dTsp-JNNA7u5F9WtxVBEug
"I have heard good things about this place, but sadly it was not up to my expectations.

The service was great. We felt taken care of - that's why this place...",2.0,Atlanta,dTsp-JNNA7u5F9WtxVBEug
xmas prix  fixe was only fair. very small portion of scallops and the beef Wellington tho tasty was overdone. $-11 for bread on top of a $200 meal was a...,3.0,Atlanta,sQAtQV1tHZaOJWcR_T8bwg
"Top notch everything.  We came for an anniversary dinner and they did not disappoint!  Service was excellent, attentive, and personal.  Food was also very...",5.0,Atlanta,sQAtQV1tHZaOJWcR_T8bwg
"Had dinner here while in Atlanta for work. 
Service was great. Both the hostess and server were friendly and personable. 
Food was just okay. 
 Had the...",3.0,Atlanta,sQAtQV1tHZaOJWcR_T8bwg
The bar wasn't as cute as expected but they made great drinks. The four course price fix was worth it,4.0,Atlanta,VK2UfEbvVaZeJo8pRmD2ZQ
"Cute rooftop spot with a view of Atlanta, with a fun selection, the cheese board was lovely. We got the chicken piroshki which was fireeeee, highly...",3.0,Atlanta,VK2UfEbvVaZeJo8pRmD2ZQ
We were nervous when we walked in because we had a 6:15 dinner reservation and the place was dead. It slowly picked up but was still rather quiet for a...,4.0,Atlanta,VK2UfEbvVaZeJo8pRmD2ZQ
"A little piece of heaven and simply amazing.
Date night worthy. Hands down wonderful service.
Also if you have a chance take a night to visit their...",5.0,Atlanta,95G2Y2-of1jFYNndCSWtkw
I had the best time at the murder mystery show! Food was great and I recommend the steak entree. I plan to come back and eat at the restaurant as well....,5.0,Atlanta,95G2Y2-of1jFYNndCSWtkw
"This review is specifically for the mystery theatre FOOD, not the regular restaurant. The show was great, the service was great. 

First: Valet parking in a...",1.0,Atlanta,95G2Y2-of1jFYNndCSWtkw
"Been coming here for years and truly a buckhead village staple. 9 years and counting!

Cajun chicken is always a safe bet, with a glass of delicious...",4.0,Atlanta,15G8ExqK2dvlLjHjsVcLPw
"French cafe / restaurant at the shops of Buckhead. You can valet, street park or park in the garage. We went for lunch. Sadly I'm not sure what all the hype...",3.0,Atlanta,15G8ExqK2dvlLjHjsVcLPw
"The food here is good.  I had the soup de jour (mushroom) and lentil salad.  My dining partner had escargot (excellent) and beef tartare.

The service isn't...",3.0,Atlanta,15G8ExqK2dvlLjHjsVcLPw
"It's always such a pleasure to dine here! 

I've always enjoyed everything I've ordered or shared (are family loves to share our orders) lol!
In addition to...",5.0,Atlanta,Mvr426COJ0GKwPChBjSr-Q
"Been around for a long time which tells you something. 
Nice people including some French patrons which also tells you more. 

Great outdoor area. Good if...",5.0,Atlanta,Mvr426COJ0GKwPChBjSr-Q
"I recently dined at Anis, a charming French restaurant, and was thoroughly impressed. The ambiance exuded an authentic Parisian feel, complemented by warm...",5.0,Atlanta,Mvr426COJ0GKwPChBjSr-Q
Visited a couple times now. The food and service are both great. They have some creative drinks and an impressive range of entrees.,5.0,Atlanta,uu_r0C2vyzOuNkBgsffS5Q
"This was my second time going to F&B. Their service is super friendly and attentive. The ambiance is classy and great for date night/celebration. 

The...",4.0,Atlanta,uu_r0C2vyzOuNkBgsffS5Q
"We loved this restaurant! The lamb chops and the creme brûlée were ny favorite. The service is top notch, the food is great, and the ambiance is perfect for...",5.0,Atlanta,uu_r0C2vyzOuNkBgsffS5Q
"Came here for a friend's birthday dinner after hearing many great things over the years. Thankfully, it lived up to the hype. 

When you walk in, the...",5.0,Raleigh,0vlHTZCatpZiO9CgO4bu4w
"What a cool spot! Lots to look at here...love the decor! And the menu changes EVERY DAY. 
Decided to visit for my birthday dinner. It was disappointing to...",4.0,Raleigh,0vlHTZCatpZiO9CgO4bu4w
I took a risk trying a new restaurant on New Year's Eve and was so happy that I did. We looked for a place with a new years menu and loved what Margaux had...,5.0,Raleigh,0vlHTZCatpZiO9CgO4bu4w
By Far the Best Dining Experience I've ever had.  The staff was friendly and very attentive.  The steak was the best I've ever had.  It melted in my mouth....,5.0,Raleigh,TabaC_gP5DJN6IYIFHpyXg
"One of the best restaurants in town. I have been several times and say at the bar and at a table, every time the service has been impeccable. They also have...",5.0,Raleigh,TabaC_gP5DJN6IYIFHpyXg
"This place was okay, I give it a 6 out of 10.. Definitely over priced, the menu sounds better then it taste. The dessert was a 10 of of 10 flourless cake I...",3.0,Raleigh,TabaC_gP5DJN6IYIFHpyXg
Rue Cler is a corner restaurant that serves up authentic French cuisine. I came with a friend on Friday and was fortunate to be seated on arrival. Our...,5.0,Raleigh,hEeRHI6INn097hP2FAgH9Q
"Let me preface this review by saying that I would go back to Rue Cler again, and the fact that I was meeting my gf's parents for the first time was adding...",2.0,Raleigh,hEeRHI6INn097hP2FAgH9Q
My partner and I were in Durham for business and an acquaintance from the Durham area recommended Rue Cler.  I cannot thank her enough. We do not eat away...,5.0,Raleigh,hEeRHI6INn097hP2FAgH9Q
"Wow ! Just awesome the zebra pattern chairs the decor is beautiful. Our server was Fletcher and Mikey.  My recommendations are the Gold dollar drink,...",5.0,Miami,-QtB-fGXYKdaEQySVO28wg
"I went Wednesday night for the first time to dirty French, not entirely sure what to expect because I had read a recent good review as well as a recent bad...",5.0,Miami,-QtB-fGXYKdaEQySVO28wg
"I came here to Celebrate my wife's birthday. We've heard great things about the restaurant and the food lived up to its hype. It was really
Tasty and well...",1.0,Miami,-QtB-fGXYKdaEQySVO28wg
"Amazing dining experience, superb food, ambiance and service. 
Not your every weekend place to go, but definitely for
Special occasions.",5.0,Miami,uyaz8BMIp2n7lhSpjZ8quA
I was in the mood to treat myself after a long day of business travel and decided to make a reservation for the counter at L'Atelier. They had various...,4.0,Miami,uyaz8BMIp2n7lhSpjZ8quA
Went here last night to celebrate a special occasion and for the last night of Miami Spice. We were escorted to the dining room upstairs and out onto the...,5.0,Miami,uyaz8BMIp2n7lhSpjZ8quA
"We all have places, smells, or flavors that remind us of our childhood, this happens when you enter Pascal on Ponce, an old faithful, and never...",5.0,Miami,GRZpClfFf3otLO2ridn5iA
Went to Pascals for the first time. I been there for business but as a dinner this was my first time . Our server was great he was older nice gent very calm...,5.0,Miami,GRZpClfFf3otLO2ridn5iA
Shocked that this place has not received a Michelin Star - and I rarely ever say this. By far the best french in Miami and I promise you will never find...,5.0,Miami,GRZpClfFf3otLO2ridn5iA
"The culinary journey begins right at your table with some fresh tomatoes, olive oil, and lemon. The atmosphere was excellent, service was incredible and...",5.0,Miami,B2-pidnIEJcI4-sy97BJww
Food amazing! Service and integrity 0.  Dined at this establishment and ate with Sameer.  He was a fine server but the sommelier and team really were the...,1.0,Miami,B2-pidnIEJcI4-sy97BJww
"Fun place celebrated my mothers birthday here- the staff was so enthusiastic lol!

Good food and great ambience.

We went vegetarian and had the corn salad...",5.0,Miami,B2-pidnIEJcI4-sy97BJww
"I've dined here twice, both times for a work related function and both times the meal was excellent.the three course meal portions are just right for a...",5.0,Miami,K6RzqmTJ5yaI35Bw1BAE3g
"This is two reviews at once having been there in August and again last Saturday 9/16.  Had to return soon besides being an enjoyable place, their Miami...",4.0,Miami,K6RzqmTJ5yaI35Bw1BAE3g
"We used to enjoy going to Two Chefs but had not been there in some time. Tonight was disappointing. 
The service was mediocre. The food was inconsistent-...",3.0,Miami,K6RzqmTJ5yaI35Bw1BAE3g
"1million stars! Food, service, and the complete restaurant vibe is everything! I really enjoy the boeuf bourguignon, I think my mom likes the roasted...",5.0,Omaha,wWcWiYwesW7KEsKycEYYRg
Best French fine dining in Omaha hands down. They have been around for awhile and menu selections is very good including wine. I love their pastry place...,5.0,Omaha,wWcWiYwesW7KEsKycEYYRg
"Le Voltaire is my favorite restaurant in town. It's consistent, the food is excellent, the service is excellent and the prices are good for the quality. Be...",5.0,Omaha,wWcWiYwesW7KEsKycEYYRg
The food is very good but their response was not good at all to an incident involving them not securing their take-out packaging which reeked havoc on the...,3.0,Oakland,u0xH3J_XRPpOpr80L3fcCA
Made dinner reservations for 6:30pm on a Wednesday evening. It took a while for the server to come and take our order but she made sure to check-in on us...,5.0,Oakland,u0xH3J_XRPpOpr80L3fcCA
"Fine food, great service... but rather pricey!

Three of us dined on their nice patio and had great meals including a fine salad, slab o' fish for my...",5.0,Oakland,u0xH3J_XRPpOpr80L3fcCA
"The only thing you need to know: order the Les profiteroles.

This place is such a good date night spot. Very romantic inside and great for catching up with...",5.0,Oakland,R-N8dHQNiEkzd472BGAt1A
"I really like Left Bank. It is a large, but somewhat cozy restaurant and bar. My friends and I started at the bar. The bartender was friendly and efficient....",5.0,Oakland,R-N8dHQNiEkzd472BGAt1A
I don't understand why people are so stingy about ratings here. It is a solid restaurant. It's pretty much the only French restaurant in the neighborhood...,5.0,Oakland,R-N8dHQNiEkzd472BGAt1A
"What is the point of life if not for hedonistic consumption?

That's how I felt when I took my wife here for our anniversary dinner. The service was...",5.0,Oakland,aFejMRJdDGYI4fuS81oQ6w
"We went here for my husband's birthday. We reserved a table inside and were sat quickly, it was quite cold inside. We were greeted with a birthday card...",3.0,Oakland,aFejMRJdDGYI4fuS81oQ6w
