text,rating,location,restaurant_id
"Woke up Christmas morning, completely ill prepared and HUNGRY! Started calling places in downtown Memphis for a resy. Like, WHO does that?!? Living on the...",5.0,Memphis,SSL6nawZW7f6KBf4UrLlXQ
"3.5, rounding up because the food is actually quite good here. But first, the elephant in the room. Just really inconsistent service. We went here twice....",4.0,Memphis,SSL6nawZW7f6KBf4UrLlXQ
My seven year anniversary is today and I wanted to take my fiancé out for a special meal since we are traveling and unfortunately the service was not great....,1.0,Memphis,SSL6nawZW7f6KBf4UrLlXQ
"First time finally dining at Iris.
It is a New Orleans style cuisine. My fave food in the world! So, I had high expectations.
They did not disappoint. My...",5.0,Memphis,Ai1Iy5Ljyc1Y7WMSSnWZPw
First time visit for a business lunch on a Friday.   At 12:20pm ALL conversation and business came to a loud booming halt as a (great sounding) three piece...,3.0,Memphis,Ai1Iy5Ljyc1Y7WMSSnWZPw
We held our engagement dinner here and it was amazing! Restaurant Iris worked within our budget and created a very tasty 3 course menu for us. We reserved a...,5.0,Memphis,Ai1Iy5Ljyc1Y7WMSSnWZPw
I'd call this a true fine dining experience. It can be a special occasion or a quest to have delicious food prepared by amazing chefs. The moment you step...,5.0,Memphis,kIdQLsARVuvuiRqiEHOZmA
"Chef Jose is a genius. This restaurant is absolutely stellar. 

We were lucky enough to dine in the private room. The set up was welcoming and cozy. Our...",5.0,Memphis,kIdQLsARVuvuiRqiEHOZmA
"Always outstanding and highly recommend! Call for reservations because they're always busy. The tuna tartare, watermelon salad are standouts! Their salmon...",5.0,Memphis,kIdQLsARVuvuiRqiEHOZmA
We came here for afternoon tea and it was amazing! The whole dining area exudes elegance. The waiter was kind and explained what each item on the tier was....,5.0,Memphis,eBvC1gEAhrq5byd_-4FfAg
"The Peabody Afternoon Tea experience is TOP NOTCH! 

I have experienced afternoon tea in many countries and this one ranks up there with some of my absolute...",5.0,Memphis,eBvC1gEAhrq5byd_-4FfAg
Omg what a gem! I came here for a girl's afternoon tea lunch on a Thursday and I have no complaints. The food was delicious. We had one tea and the three...,5.0,Memphis,eBvC1gEAhrq5byd_-4FfAg
Wonderful food and presented creatively. Equally impressive is the bar staff that are very knowledgeable of their craft. I love the decadent lobster...,5.0,Memphis,ZSnkhhj5t8SDXqNBbZXWUQ
"Beautifully done  for a very special birthday party 
November 1 2022 
Happy birthday to you!!",5.0,Memphis,ZSnkhhj5t8SDXqNBbZXWUQ
"Trina at the bar was great! Fast dinner service for 9pm, Good vibes, Good drinks & good food.",4.0,Memphis,ZSnkhhj5t8SDXqNBbZXWUQ
"Superb.  Everything about it was great, from the ambiance to the service to the food.  I'd call it more modern than traditional French so check the menu out...",5.0,Boston,VH0Ib9S3E-dxbQdQC4rffg
"It's slightly more upscale here with fancy wine lists and a more mature vibe. Great for celebratory dinners and bigger groups  

The food is spot on (and...",5.0,Boston,VH0Ib9S3E-dxbQdQC4rffg
"I went to Paris twice this year and had been missing escargot so much so when I had a chance to dine out with my friends, it was a no brainer to choose this...",5.0,Boston,VH0Ib9S3E-dxbQdQC4rffg
"The service was amazing, but I'll get back to that.  I've eaten brunch at a number of places around the Boston Public Garden. Most, like Contessa, are...",5.0,Boston,l45r09qD9iIkQn9KoKKfuw
"Excessively priced, their Thanksgiving day dinner was wonderful. We got there on the earlier side and afterwards they were slammed! Can't say anything bad...",5.0,Boston,l45r09qD9iIkQn9KoKKfuw
"Normally my wife is very picky about food and drinks.  Meanwhile, I'll eat or drink anywhere.

She loved her food and cocktail.  I was disappointed.....my...",3.0,Boston,l45r09qD9iIkQn9KoKKfuw
"A beautiful, French style restaurant. 

Our waitress was very cordial and provided the best service that she could, considering her table load. The bread...",4.0,Boston,9JdZYh-OF_gpo5ioAdkzdQ
"Had a fancy Friday night dinner with some buds to kick off the new academic year, and my goodness did we kick it off...

This was truly one of the best...",5.0,Boston,9JdZYh-OF_gpo5ioAdkzdQ
Awesome place for a group brunch with immaculate vibes. I came here on a Sunday morning in a group of 5 and got seated in the round table near the front of...,4.0,Boston,9JdZYh-OF_gpo5ioAdkzdQ
I wished I found this place sooner! I came with a group of friends for dinner. It was on a weekday night but the restaurant was full with some waiting at...,5.0,Boston,-uw-p4Rp-__yr9-J3kHaTQ
