restaurant_id,text,rating,location,business_name,business_price,business_review_count,business_display_address,business_display_phone,business_categories,cleaned_text,tokens,top_topic_labels,topics,sentiment,bigrams,trigrams
Hnj8w5j6eaIt2NiSQc7TGg,"The first word that comes to me regarding this place is pretentious... It is it a snobby restaurant on the wrong area, hence high prices, and not much to do...",0.0,New York City,Indochine,$$$,465,"['430 Lafayette St', 'New York, NY 10003']",(212) 505-5111,"[{'alias': 'vietnamese', 'title': 'Vietnamese'}, {'alias': 'french', 'title': 'French'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",the first word that comes to me regarding this place is pretensions it is it a shabby restaurant on the wrong area hence high prices and not much to do,"['first', 'word', 'place', 'pretension', 'shabby', 'restaurant', 'wrong', 'area', 'hence', 'high', 'price', 'much']","[['amazing', 'rude', 'weekend', 'away', 'place', 'entire', 'minora', 'right', 'valet', 'early'], ['food', 'service', 'good', 'price', 'restaurant', 'much', 'special', 'absence', 'place', 'however'], ['food', 'star', 'party', 'hour', 'reservation', 'good', 'place', 'wine', 'area', 'favor'], ['first', 'time', 'week', 'restaurant', 'spot', 'back', 'parking', 'friend', 'mostly', 'street'], ['reservation', 'menu', 'dinner', 'friend', 'food', 'bit', 'restaurant', 'branch', 'table', 'small'], ['restaurant', 'year', 'french', 'soup', 'always', 'onion', 'well', 'never', 'visit', 'last'], ['great', 'french', 'dinner', 'date', 'alliance', 'service', 'food', 'meal', 'place', 'experience'], ['bar', 'gastro', 'definitely', 'really', 'work', 'place', 'birthday', 'neighborhood', 'patron', 'restaurant'], ['life', 'old', 'new', 'still', 'review', 'open', 'yelp', 'standard', 'fairly', 'noma'], ['empty', 'family', 'restaurant', 'enough', 'chicken', 'waiter', 'kiss', 'husband', 'morning', 'vessel']]",[],0,"['first_word', 'place_pretension', 'shabby_restaurant', 'wrong_area', 'hence_high', 'price_much']","['first_word', 'place_pretension', 'shabby_restaurant', 'wrong_area', 'hence_high', 'price_much']"
oFpi7EtXFUbzb1QfDLk2JA,"Went to Le Sud with 3 of my friends for their restaurant week menu! With this you each get a small plate, large plate, and desert. I got the octopus, filet...",0.0,Chicago,Le Sud,$$$,289,"['2301 W Roscoe St', 'Chicago, IL 60618']",(773) 857-1985,"[{'alias': 'mediterranean', 'title': 'Mediterranean'}, {'alias': 'french', 'title': 'French'}, {'alias': 'brasseries', 'title': 'Brasseries'}]",went to le sad with 3 of my friends for their restaurant week menu with this you each get a small plate large plate and desert i got the octopus file,"['sad', 'friend', 'restaurant', 'week', 'menu', 'small', 'plate', 'large', 'plate', 'desert', 'octopus', 'file']","[['first', 'time', 'week', 'restaurant', 'spot', 'back', 'parking', 'friend', 'mostly', 'street'], ['reservation', 'menu', 'dinner', 'friend', 'food', 'bit', 'restaurant', 'branch', 'table', 'small'], ['food', 'star', 'party', 'hour', 'reservation', 'good', 'place', 'wine', 'area', 'favor'], ['empty', 'family', 'restaurant', 'enough', 'chicken', 'waiter', 'kiss', 'husband', 'morning', 'vessel'], ['restaurant', 'year', 'french', 'soup', 'always', 'onion', 'well', 'never', 'visit', 'last'], ['great', 'french', 'dinner', 'date', 'alliance', 'service', 'food', 'meal', 'place', 'experience'], ['food', 'service', 'good', 'price', 'restaurant', 'much', 'special', 'absence', 'place', 'however'], ['amazing', 'rude', 'weekend', 'away', 'place', 'entire', 'minora', 'right', 'valet', 'early'], ['bar', 'gastro', 'definitely', 'really', 'work', 'place', 'birthday', 'neighborhood', 'patron', 'restaurant'], ['life', 'old', 'new', 'still', 'review', 'open', 'yelp', 'standard', 'fairly', 'noma']]",[],1,"['sad_friend', 'restaurant_week', 'menu_small', 'plate_large', 'plate_desert', 'octopus_file']","['sad_friend', 'restaurant_week', 'menu_small', 'plate_large', 'plate_desert', 'octopus_file']"
gFcSLTJo3HXdkXScg0FgcA,Food was excellent. Service was excellent. Ambiance was excellent. So happy the restaurant has reopened. Hopefully their Grand Marnier Soufflé will be back...,0.0,San Francisco,Restaurant Jeanne D'Arc,$$$,408,"['715 Bush St', 'San Francisco, CA 94108']",(415) 421-3154,"[{'alias': 'french', 'title': 'French'}]",food was excellent service was excellent alliance was excellent so happy the restaurant has reopened hopefully their grand manner scuffle will be back,"['food', 'excellent', 'service', 'excellent', 'alliance', 'excellent', 'happy', 'restaurant', 'hopefully', 'grand', 'manner', 'scuffle', 'back']","[['great', 'french', 'dinner', 'date', 'alliance', 'service', 'food', 'meal', 'place', 'experience'], ['restaurant', 'year', 'french', 'soup', 'always', 'onion', 'well', 'never', 'visit', 'last'], ['reservation', 'menu', 'dinner', 'friend', 'food', 'bit', 'restaurant', 'branch', 'table', 'small'], ['first', 'time', 'week', 'restaurant', 'spot', 'back', 'parking', 'friend', 'mostly', 'street'], ['food', 'star', 'party', 'hour', 'reservation', 'good', 'place', 'wine', 'area', 'favor'], ['food', 'service', 'good', 'price', 'restaurant', 'much', 'special', 'absence', 'place', 'however'], ['amazing', 'rude', 'weekend', 'away', 'place', 'entire', 'minora', 'right', 'valet', 'early'], ['bar', 'gastro', 'definitely', 'really', 'work', 'place', 'birthday', 'neighborhood', 'patron', 'restaurant'], ['life', 'old', 'new', 'still', 'review', 'open', 'yelp', 'standard', 'fairly', 'noma'], ['empty', 'family', 'restaurant', 'enough', 'chicken', 'waiter', 'kiss', 'husband', 'morning', 'vessel']]",[],2,"['food', 'excellent', 'service', 'excellent', 'alliance', 'excellent', 'happy', 'restaurant', 'hopefully', 'grand', 'manner', 'scuffle', 'back']","['food', 'excellent', 'service', 'excellent', 'alliance', 'excellent', 'happy', 'restaurant', 'hopefully', 'grand', 'manner', 'scuffle', 'back']"
EiBceKT1dpLs_CsmNxB5cA,"Gambling, check. Show, check. Ballerina wannabe fountains, check. Fake pyramids/European structures, check.  So where else do you HAVE to take your family...",0.0,Las Vegas,Taste Of Wynn,$$$,2,"['3131 Las Vegas Blvd', 'Las Vegas, NV 89109']",(702) 770-3541,"[{'alias': 'french', 'title': 'French'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'buffets', 'title': 'Buffets'}]",gambling check show check wallerian wannabe mountains check face pyramidseuropean structures check  so where else do you have to take your family,"['gambling', 'check', 'show', 'check', 'wallerian', 'wannabe', 'mountain', 'face', 'structure', 'else', 'family']","[['life', 'old', 'new', 'still', 'review', 'open', 'yelp', 'standard', 'fairly', 'noma'], ['reservation', 'menu', 'dinner', 'friend', 'food', 'bit', 'restaurant', 'branch', 'table', 'small'], ['empty', 'family', 'restaurant', 'enough', 'chicken', 'waiter', 'kiss', 'husband', 'morning', 'vessel'], ['restaurant', 'year', 'french', 'soup', 'always', 'onion', 'well', 'never', 'visit', 'last'], ['food', 'star', 'party', 'hour', 'reservation', 'good', 'place', 'wine', 'area', 'favor'], ['great', 'french', 'dinner', 'date', 'alliance', 'service', 'food', 'meal', 'place', 'experience'], ['first', 'time', 'week', 'restaurant', 'spot', 'back', 'parking', 'friend', 'mostly', 'street'], ['food', 'service', 'good', 'price', 'restaurant', 'much', 'special', 'absence', 'place', 'however'], ['amazing', 'rude', 'weekend', 'away', 'place', 'entire', 'minora', 'right', 'valet', 'early'], ['bar', 'gastro', 'definitely', 'really', 'work', 'place', 'birthday', 'neighborhood', 'patron', 'restaurant']]",[],0,"['gambling', 'check', 'show', 'check', 'wallerian', 'wannabe', 'mountain', 'face', 'structure', 'else', 'family']","['gambling', 'check', 'show', 'check', 'wallerian', 'wannabe', 'mountain', 'face', 'structure', 'else', 'family']"
NIX9YFX1taOkm1J9IGuLqA,"I recent planned a bridal shower here for 16 guests. While we booked the venue over a month in advance, it was utterly disappointing and frustrating that...",0.0,New York City,Bistrot Leo,$$$,111,"['60 Thompson St', 'New York, NY 10012']",(212) 219-8119,"[{'alias': 'french', 'title': 'French'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",i recent planned a bridal shower here for 16 guests while we booked the venue over a month in advance it was utterly disappointing and frustration that,"['recent', 'bridal', 'shower', 'guest', 'venue', 'month', 'advance', 'utterly', 'disappointing', 'frustration']","[['first', 'time', 'week', 'restaurant', 'spot', 'back', 'parking', 'friend', 'mostly', 'street'], ['reservation', 'menu', 'dinner', 'friend', 'food', 'bit', 'restaurant', 'branch', 'table', 'small'], ['restaurant', 'year', 'french', 'soup', 'always', 'onion', 'well', 'never', 'visit', 'last'], ['food', 'star', 'party', 'hour', 'reservation', 'good', 'place', 'wine', 'area', 'favor'], ['great', 'french', 'dinner', 'date', 'alliance', 'service', 'food', 'meal', 'place', 'experience'], ['food', 'service', 'good', 'price', 'restaurant', 'much', 'special', 'absence', 'place', 'however'], ['amazing', 'rude', 'weekend', 'away', 'place', 'entire', 'minora', 'right', 'valet', 'early'], ['bar', 'gastro', 'definitely', 'really', 'work', 'place', 'birthday', 'neighborhood', 'patron', 'restaurant'], ['life', 'old', 'new', 'still', 'review', 'open', 'yelp', 'standard', 'fairly', 'noma'], ['empty', 'family', 'restaurant', 'enough', 'chicken', 'waiter', 'kiss', 'husband', 'morning', 'vessel']]",[],0,"['recent_bridal', 'shower_guest', 'venue_month', 'advance_utterly', 'disappointing_frustration']","['recent_bridal', 'shower_guest', 'venue_month', 'advance_utterly', 'disappointing_frustration']"
24f-qQokEN2UvBNHMWLm3A,"I have been coming to New Orleans regularly now for well over 3 decades, and I have always been aware of the Old Guard, the Standards, the Pillars of NOLA...",,New Orleans,Antoine's Restaurant,$$$,1773,"['713 Saint Louis St', 'New Orleans, LA 70130']",(504) 581-4422,"[{'alias': 'french', 'title': 'French'}, {'alias': 'cajun', 'title': 'Cajun/Creole'}]",i have been coming to new orleans regularly now for well over 3 decades and i have always been aware of the old guard the standards the pillars of noma,"['regularly', 'well', 'decade', 'always', 'aware', 'old', 'guard', 'standard', 'pillar', 'noma']","[['life', 'old', 'new', 'still', 'review', 'open', 'yelp', 'standard', 'fairly', 'noma'], ['restaurant', 'year', 'french', 'soup', 'always', 'onion', 'well', 'never', 'visit', 'last'], ['reservation', 'menu', 'dinner', 'friend', 'food', 'bit', 'restaurant', 'branch', 'table', 'small'], ['food', 'star', 'party', 'hour', 'reservation', 'good', 'place', 'wine', 'area', 'favor'], ['great', 'french', 'dinner', 'date', 'alliance', 'service', 'food', 'meal', 'place', 'experience'], ['first', 'time', 'week', 'restaurant', 'spot', 'back', 'parking', 'friend', 'mostly', 'street'], ['food', 'service', 'good', 'price', 'restaurant', 'much', 'special', 'absence', 'place', 'however'], ['amazing', 'rude', 'weekend', 'away', 'place', 'entire', 'minora', 'right', 'valet', 'early'], ['bar', 'gastro', 'definitely', 'really', 'work', 'place', 'birthday', 'neighborhood', 'patron', 'restaurant'], ['empty', 'family', 'restaurant', 'enough', 'chicken', 'waiter', 'kiss', 'husband', 'morning', 'vessel']]",[],1,"['regularly_well', 'decade_always', 'aware_old', 'guard_standard', 'pillar_noma']","['regularly_well', 'decade_always', 'aware_old', 'guard_standard', 'pillar_noma']"
pgri9CUZXGy9hi6UMMQR6A,"This Parisian style restaurant is stylistically appealing. The black and white floors, the subway tiled walls with faux wear and tear, the gorgeous bar and...",0.0,Philadelphia,Louie Louie,$$$,420,"['3611 Walnut St', 'Philadelphia, PA 19104']",(267) 805-8585,"[{'alias': 'newamerican', 'title': 'New American'}, {'alias': 'french', 'title': 'French'}]",this parisian style restaurant is stylistically appealing the black and white floors the subways tiled walls with faut wear and tear the gorgeous bar and,"['parisian', 'style', 'restaurant', 'stylistically', 'black', 'white', 'floor', 'subway', 'wall', 'faut', 'wear', 'gorgeous', 'bar']","[['empty', 'family', 'restaurant', 'enough', 'chicken', 'waiter', 'kiss', 'husband', 'morning', 'vessel'], ['bar', 'gastro', 'definitely', 'really', 'work', 'place', 'birthday', 'neighborhood', 'patron', 'restaurant'], ['reservation', 'menu', 'dinner', 'friend', 'food', 'bit', 'restaurant', 'branch', 'table', 'small'], ['restaurant', 'year', 'french', 'soup', 'always', 'onion', 'well', 'never', 'visit', 'last'], ['food', 'star', 'party', 'hour', 'reservation', 'good', 'place', 'wine', 'area', 'favor'], ['great', 'french', 'dinner', 'date', 'alliance', 'service', 'food', 'meal', 'place', 'experience'], ['first', 'time', 'week', 'restaurant', 'spot', 'back', 'parking', 'friend', 'mostly', 'street'], ['food', 'service', 'good', 'price', 'restaurant', 'much', 'special', 'absence', 'place', 'however'], ['amazing', 'rude', 'weekend', 'away', 'place', 'entire', 'minora', 'right', 'valet', 'early'], ['life', 'old', 'new', 'still', 'review', 'open', 'yelp', 'standard', 'fairly', 'noma']]",[],2,"['parisian', 'style', 'restaurant', 'stylistically', 'black', 'white', 'floor', 'subway', 'wall', 'faut', 'wear', 'gorgeous', 'bar']","['parisian', 'style', 'restaurant', 'stylistically', 'black', 'white', 'floor', 'subway', 'wall', 'faut', 'wear', 'gorgeous', 'bar']"
gCFw0Tx6h4E8oNwDYkIRTg,"As a SoCal native Walter Manzke's cooking has always relied on the state's best Ingredients, and after years of work with Joachim Splichal followed by...",0.0,Los Angeles,Bicyclette,$$$$,319,"['9575 West Pico Blvd', 'Los Angeles, CA 90035']",(424) 500-9575,"[{'alias': 'french', 'title': 'French'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",as a local native walter makes cooking has always relied on the states best ingredient and after years of work with joachim splichal followed by,"['local', 'native', 'walter', 'cooking', 'always', 'state', 'good', 'ingredient', 'year', 'work', 'splichal']","[['restaurant', 'year', 'french', 'soup', 'always', 'onion', 'well', 'never', 'visit', 'last'], ['food', 'star', 'party', 'hour', 'reservation', 'good', 'place', 'wine', 'area', 'favor'], ['bar', 'gastro', 'definitely', 'really', 'work', 'place', 'birthday', 'neighborhood', 'patron', 'restaurant'], ['reservation', 'menu', 'dinner', 'friend', 'food', 'bit', 'restaurant', 'branch', 'table', 'small'], ['great', 'french', 'dinner', 'date', 'alliance', 'service', 'food', 'meal', 'place', 'experience'], ['first', 'time', 'week', 'restaurant', 'spot', 'back', 'parking', 'friend', 'mostly', 'street'], ['food', 'service', 'good', 'price', 'restaurant', 'much', 'special', 'absence', 'place', 'however'], ['amazing', 'rude', 'weekend', 'away', 'place', 'entire', 'minora', 'right', 'valet', 'early'], ['life', 'old', 'new', 'still', 'review', 'open', 'yelp', 'standard', 'fairly', 'noma'], ['empty', 'family', 'restaurant', 'enough', 'chicken', 'waiter', 'kiss', 'husband', 'morning', 'vessel']]",[],1,"['local_native', 'walter_cooking', 'always_state', 'good_ingredient', 'year_work', 'splichal']","['local_native', 'walter_cooking', 'always_state', 'good_ingredient', 'year_work', 'splichal']"
NieVNg1pP-PPeGUsdpy9BA,"Coffee, the lifeblood of our country. Wait is that right? Not sure...maybe it's something else. But for the last week, for me...COFFEE was the lifeblood of...",0.0,Las Vegas,Pinot Brasserie Bakery,$$$,3,"['3355 Las Vegas Blvd S', 'Las Vegas, NV 89109']",,"[{'alias': 'french', 'title': 'French'}]",coffee the lifeblood of our country wait is that right not suremaybe its something else but for the last week for coffee was the lifeblood of,"['lifeblood', 'country', 'right', 'else', 'last', 'week', 'coffee', 'lifeblood']","[['amazing', 'rude', 'weekend', 'away', 'place', 'entire', 'minora', 'right', 'valet', 'early'], ['life', 'old', 'new', 'still', 'review', 'open', 'yelp', 'standard', 'fairly', 'noma'], ['restaurant', 'year', 'french', 'soup', 'always', 'onion', 'well', 'never', 'visit', 'last'], ['first', 'time', 'week', 'restaurant', 'spot', 'back', 'parking', 'friend', 'mostly', 'street'], ['food', 'service', 'good', 'price', 'restaurant', 'much', 'special', 'absence', 'place', 'however'], ['reservation', 'menu', 'dinner', 'friend', 'food', 'bit', 'restaurant', 'branch', 'table', 'small'], ['food', 'star', 'party', 'hour', 'reservation', 'good', 'place', 'wine', 'area', 'favor'], ['great', 'french', 'dinner', 'date', 'alliance', 'service', 'food', 'meal', 'place', 'experience'], ['bar', 'gastro', 'definitely', 'really', 'work', 'place', 'birthday', 'neighborhood', 'patron', 'restaurant'], ['empty', 'family', 'restaurant', 'enough', 'chicken', 'waiter', 'kiss', 'husband', 'morning', 'vessel']]",[],1,"['lifeblood_country', 'right_else', 'last', 'week_coffee', 'lifeblood']","['lifeblood_country', 'right_else', 'last', 'week_coffee', 'lifeblood']"
L5vSeC_sa3TUQW_lticqyA,"Always a perfect meal!
Service is impeccable 
And it's got a great cozy vibe. 
Try something you never have before it won't disappoint",0.0,San Francisco,Chapeau,$$$,2909,"['126 Clement St', 'San Francisco, CA 94118']",(415) 750-9787,"[{'alias': 'french', 'title': 'French'}]","always a perfect meal
service is implacable 
and its got a great copy vice 
try something you never have before it wont disappoint","['always', 'perfect', 'meal', 'service', 'implacable', 'great', 'copy', 'vice', 'never']","[['great', 'french', 'dinner', 'date', 'alliance', 'service', 'food', 'meal', 'place', 'experience'], ['bar', 'gastro', 'definitely', 'really', 'work', 'place', 'birthday', 'neighborhood', 'patron', 'restaurant'], ['restaurant', 'year', 'french', 'soup', 'always', 'onion', 'well', 'never', 'visit', 'last'], ['food', 'service', 'good', 'price', 'restaurant', 'much', 'special', 'absence', 'place', 'however'], ['reservation', 'menu', 'dinner', 'friend', 'food', 'bit', 'restaurant', 'branch', 'table', 'small'], ['food', 'star', 'party', 'hour', 'reservation', 'good', 'place', 'wine', 'area', 'favor'], ['first', 'time', 'week', 'restaurant', 'spot', 'back', 'parking', 'friend', 'mostly', 'street'], ['amazing', 'rude', 'weekend', 'away', 'place', 'entire', 'minora', 'right', 'valet', 'early'], ['life', 'old', 'new', 'still', 'review', 'open', 'yelp', 'standard', 'fairly', 'noma'], ['empty', 'family', 'restaurant', 'enough', 'chicken', 'waiter', 'kiss', 'husband', 'morning', 'vessel']]",[],2,"['always', 'perfect', 'meal', 'service_implacable', 'great', 'copy', 'vice', 'never']","['always', 'perfect', 'meal', 'service_implacable', 'great', 'copy', 'vice', 'never']"
